id,central_requirement,foreign_id_grades
506,I framställningar av olika slag formulerar sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga tecken och fraser.,1-23-156
507,I interaktion uttrycker sig eleven mycket enkelt och i huvudsak begripligt med enstaka vanliga tecken och fraser,1-23-156
508,Dessutom använder eleven strategier som i någon mån underlättar interaktionen.,1-23-156
509,"Eleven kommenterar på ett mycket enkelt sätt, på teckenspråk, förhållanden i olika sammanhang där teckenspråk används.",1-23-156
510,Eleven förstår och tolkar det mest väsentliga av innehållet i tydligt och enkelt teckenspråk i lugnt tempo om vardagliga och välbekanta ämnen,1-23-157
511,Eleven väljer enkel information från ett avgränsat urval av teckenspråkiga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-23-157
512,I framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar.,1-23-157
513,"I interaktion uttrycker sig eleven enkelt och begripligt med tecken, fraser och meningar",1-23-157
514,Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.,1-23-157
515,"Eleven kommenterar på ett enkelt sätt, på teckenspråk, förhållanden i olika sammanhang där teckenspråk används.",1-23-157
516,Eleven ger exempel på tekniska lösningar och beskriver på ett enkelt sätt några av deras för- och nackdelar för individ och miljö samt hur de har förändrats över tid.,1-24-161
517,Eleven undersöker tekniska lösningar och beskriver på ett enkelt sätt hur några delar samverkar för att uppnå ändamålsenlighet och funktion.,1-24-161
518,Eleven genomför enkla teknikutvecklings- och konstruktionsarbeten på ett delvis genomarbetat sätt,1-24-161
519,I arbetet bidrar eleven till att formulera och välja handlingsalternativ,1-24-161
520,Eleven gör dokumentationer där intentionen i lösningen till viss del är synliggjord.,1-24-161
521,"Eleven för enkla resonemang om val av tekniska lösningar och deras konsekvenser för individ, samhälle och miljö",1-24-162
522,Eleven beskriver på ett enkelt sätt hur några tekniska lösningar har förändrats över tid och orsaker till förändringarna.,1-24-162
523,Eleven undersöker olika tekniska lösningar och förklarar på ett enkelt sätt hur ingående delar samverkar för att uppnå ändamålsenlighet och funktion.,1-24-162
524,Eleven genomför teknikutvecklings- och konstruktionsarbeten på ett delvis genomarbetat sätt,1-24-162
525,I arbetet prövar eleven idéer till lösningar och bidrar till att formulera och välja handlingsalternativ,1-24-162
526,Eleven gör dokumentationer där intentionen i lösningen till viss del är synliggjord.,1-24-162
527,Eleven kan utföra rörelsevokabulär i den klassiska balettens och den moderna nutida dansens formspråk,1-25-165
528,I en av dessa genrer utför eleven rörelsevokabulär med viss säkerhet,1-25-165
529,I den andra genren utför eleven rörelsevokabulär på ett i huvudsak fungerande sätt.,1-25-165
530,"Eleven utför på ett i huvudsak fungerande sätt variationer i rörelsekvaliteter, rörelseflöde och dynamik",1-25-165
531,Eleven anpassar med viss säkerhet danstekniken till den egna kroppen i förhållande till rummet och andra medverkande samt följer och anpassar till viss del danstekniken till olika musikaliska aspekter,1-25-165
532,Eleven kan förhålla sig konstnärligt till dansteknik och visar det genom att med viss säkerhet anpassa sina rörelser till genrens formspråk och stilkrav.,1-25-165
533,Eleven kan på ett i huvudsak fungerande sätt utföra rörelsevokabulär i andra dansgenrers formspråk.,1-25-165
534,Eleven improviserar genom att med viss säkerhet associera och skapa rörelser utifrån olika instruktioner,1-25-165
535,Eleven kan med viss säkerhet tolka och memorera enkelt danstekniskt och koreografiskt rörelsematerial,1-25-165
536,Eleven framför koreografier med i huvudsak fungerande scenisk närvaro och relevant uttryck.,1-25-165
537,"Eleven kan med viss säkerhet tillämpa träningsprocessens delar och de koder och konventioner som används vid dansteknisk träning, samt vid repetitionsprocessen",1-25-165
538,Eleven fokuserar i nuet med viss säkerhet och visar det genom att på ett i huvudsak fungerande sätt vara uppmärksam på de uppgifter som ska utföras,1-25-165
539,Eleven kan med viss anpassning interagera och samspela med andra elever utifrån olika former av instruktioner.,1-25-165
540,Eleven genomför på ett i huvudsak fungerande sätt en bredd av träningsaktiviteter som utvecklar den kroppsliga förmågan,1-25-165
541,Eleven kan föra enkla resonemang om träningsprocessen och de danstekniska resultaten och kan med viss säkerhet utveckla de danstekniska färdigheterna,1-25-165
542,Eleven kan beskriva någon faktor som påverkar kropp och träning och ger exempel på enkelt identifierbara samband mellan denna faktor och dansteknikträningen.,1-25-165
543,Eleven kan med viss säkerhet använda grundläggande begrepp och uttryck för ämnesområdet.,1-25-165
544,Eleven kan utföra rörelsevokabulär i den klassiska balettens och den moderna nutida dansens formspråk,1-25-166
545,I en av dessa genrer utför eleven rörelsevokabulär med viss säkerhet,1-25-166
546,I den andra genren utför eleven rörelsevokabulär på ett i huvudsak fungerande sätt.,1-25-166
547,"Eleven utför på ett i huvudsak fungerande sätt variationer i rörelsekvaliteter, rörelseflöde och dynamik",1-25-166
548,Eleven anpassar med viss säkerhet danstekniken till den egna kroppen i förhållande till rummet och andra medverkande samt följer och anpassar till viss del danstekniken till olika musikaliska aspekter,1-25-166
549,Eleven kan förhålla sig konstnärligt till dansteknik och visar det genom att med viss säkerhet anpassa sina rörelser till genrens formspråk och stilkrav.,1-25-166
550,Eleven kan på ett i huvudsak fungerande sätt utföra rörelsevokabulär i andra dansgenrers formspråk.,1-25-166
551,Eleven improviserar genom att med viss säkerhet associera och skapa rörelser utifrån olika instruktioner,1-25-166
552,Eleven kan med viss säkerhet tolka och memorera danstekniskt och koreografiskt rörelsematerial,1-25-166
553,Eleven framför med tillfredställande resultat koreografier med scenisk närvaro och relevant uttryck.,1-25-166
554,"Eleven kan med viss säkerhet tillämpa träningsprocessens delar och de koder och konventioner som används vid dansteknisk träning, samt vid repetitionsprocessen och sceniska produktioner",1-25-166
555,Eleven fokuserar i nuet med viss säkerhet och visar det genom att på ett i huvudsak fungerande sätt vara uppmärksam på de uppgifter som ska utföras under träningsprocessen och på scenen,1-25-166
556,Eleven kan med viss anpassning interagera och samspela med andra elever utifrån olika former av instruktioner,1-25-166
557,Eleven kan med viss säkerhet tillämpa och bearbeta feedback och visar det genom att till viss del korrigera och anpassa aktiviteten till syftet och sammanhanget.,1-25-166
558,Eleven genomför på ett i huvudsak fungerande sätt en bredd av träningsaktiviteter som utvecklar den kroppsliga förmågan,1-25-166
559,Eleven kan föra enkla resonemang om träningsprocessen och de danstekniska resultaten och kan med viss säkerhet utveckla och förfina de danstekniska färdigheterna,1-25-166
560,Eleven kan beskriva någon faktor som påverkar kropp och träning och förklarar enkelt identifierbara samband mellan denna faktor och dansteknikträningen.,1-25-166
561,Eleven kan med viss säkerhet kommunicera med andra inom yrkesområdet och använder då grundläggande begrepp och uttryck för ämnesområdet.,1-25-166
562,Eleven visar grundläggande kunskaper om tolkningar och praktiker inom judiska religiösa traditioner och sekulära förhållningssätt,1-26-168
563,Eleven för enkla resonemang om likheter och skillnader mellan olika inriktningar och förhållningssätt.,1-26-168
564,Eleven visar grundläggande kunskaper om det judiska folkets historia,1-26-168
565,Eleven för enkla resonemang om orsaker till och konsekvenser av samhällsförändringar och av människors levnadsvillkor och handlingar under olika tidsperioder,1-26-168
566,Eleven för också enkla resonemang om hur myter och historia brukas för olika syften.,1-26-168
567,Eleven för enkla resonemang om hur kulturer och identiteter har utvecklats och utvecklas inom judiska gemenskaper och genom judars möten med olika samhällen.,1-26-168
568,Eleven för enkla resonemang om olika samhällsfrågor som är relevanta för ämnet,1-26-168
569,Eleven ställer frågor till historiska och nutida källor och för enkla resonemang om vad källorna kan berätta samt om källornas relevans och trovärdighet.,1-26-168
